admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
Makefu,Makefu,tv3wTVVmJMPQ3T54VJWb5B,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Tuapa,Tuapa,8Q5X7yAobqRHBNFGZuvpJr,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Namukulu,Namukulu,26RNrwu16pFtFFwx7uz1VY,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Hikutavake,Hikutavake,5faPvMBKEoXuPEeeqvKsfh,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Toi,Toi,b9UqjZg7BSkPHaJErzcthH,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Mutalau,Mutalau,jyeNANtyFLHDs42Dvnem84,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Lakepa,Lakepa,rPYMyU9tUs9fF5QF8dofyk,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Liku,Liku,jSesLhaH8ChXz5XsrvSatC,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Hakupu,Hakupu,rUR1HQYaBHHLYKce7RF3Rx,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Vaiea,Vaiea,2T8fYQEP57zjNkwfHRmXSM,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Avatele,Avatele,a9ChWMpaR2UmboXKVY8pnn,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Tamakautoga,Tamakautoga,gYnYcMJyseKsfMU6drGBEP,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Alofi South,Alofi South,6XAFs8AMJeb6ejHavyUtWH,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Alofi North,Alofi North,2S67BzerZzguUUpwkisVrT,Niue,Niue,HF7S25bcvXP,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Kayangel,Kayangel,dnWRLp8q4NB7q7Qxw781ZF,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Ngarchelong,Ngarchelong,rWtPTHStD3rhNk4TS33FMc,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Ngaraard,Ngaraard,ck75NmwVys8LX1QMw95RQG,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Ngardmau,Ngardmau,wB1soytd5Kj215Bwto5bPc,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Ngaremlengui,Ngaremlengui,h68hdUWc7utEpoYBtVfqny,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Ngatpang,Ngatpang,mHCLAa4Eqy6AMKBbAEiHkJ,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Ngiwal,Ngiwal,krc1Y4QckpYMerUfvUWEuc,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Melekeok,Melekeok,3ueGLmCMeV7EbVBLCsEMSH,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Ngchesar,Ngchesar,tTpba8WhXRCHDcPgDAXkK7,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Aimeliik,Aimeliik,ggtnDyMPYAp4zZDrtTLux5,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Airai,Airai,bmanahCfm1XB1D4zwTDRz4,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Koror,Koror,kvmRNc4h9epgwaDMqCoCLE,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Peleliu,Peleliu,832szmyr3zhYojnfbwNrqP,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Angaur,Angaur,xnRLW44FPi9uWzyk86sJMu,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Sonsorol,Sonsorol,jHYCbF32kBQtiyNXCrCpQo,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Hatohobei,Hatohobei,rbMrnFtEGeGirjH7djprjc,Palau,Palau,KdgsRzfnchD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Nauru,Nauru,gLSKTowCNDLoXJJufE2TCr,Nauru,Nauru,T7dnvfF301Z,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
SPC,SPC,rF9kLmT2qXvH7zNcP4aYsD,SPC,SPC,kT7mQ4ZxLp,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Rarotonga,Rarotonga,T9kLm4QvNz8HdJr2XpWaCy,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Aitutaki,Aitutaki,7RbYq3MfKs9VuLe2GnPxTw,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Atiu,Atiu,J4nXe8HsQm2CvZa7LpRuDf,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Mauke,Mauke,W6pTk9AzNr5HyQe3MbXsLv,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Mitiaro,Mitiaro,H2vQc7LmPy8RaJn5ZxKuEt,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Mangaia,Mangaia,N8xDw4KbYs6FpQm2HvRaZj,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Palmerston,Palmerston,C5mPt9XeLu7HrQv8JaNsWy,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Manihiki,Manihiki,V3qHs8NzKa4TmYp6RcXeLf,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Rakahanga,Rakahanga,P7rWm2JxHv9QaKs5NzTuDc,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Penrhyn,Penrhyn,L9yFb6QnXe3RvHm8PkJsTa,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Pukapuka,Pukapuka,X4kNv7RaQm5HsYp2LeZwCu,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Nassau,Nassau,M8pJq3TxLv6NdRa9HyWsKe,Cook Islands,Cook Islands,3g5k7yQ9e4F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
